Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Duracion_Semanas,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Saberes_Basicos,Actividad_ID,Actividad_Titulo,Actividad_Descripcion,Actividad_Sesiones,Semana_Numero,Semana_Titulo,Dia,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion,Material,Evaluable
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.11,Actividad Teatro y Cine 11,Desarrollo de la actividad 11 vinculada a 6.CR.CE5.1,1,2,Semana 2,Martes,14-04-2026,1,Sesión 11,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.12,Actividad Teatro y Cine 12,Desarrollo de la actividad 12 vinculada a 6.CR.CE5.5,1,2,Semana 2,Martes,14-04-2026,2,Sesión 12,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.13,Actividad Teatro y Cine 13,Desarrollo de la actividad 13 vinculada a 6.CR.CE1.3,1,2,Semana 2,Miércoles,15-04-2026,1,Sesión 13,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.14,Actividad Teatro y Cine 14,Desarrollo de la actividad 14 vinculada a 6.CR.CE1.4,1,2,Semana 2,Miércoles,15-04-2026,2,Sesión 14,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.15,Actividad Teatro y Cine 15,Desarrollo de la actividad 15 vinculada a 6.CR.CE3.7,1,2,Semana 2,Jueves,16-04-2026,1,Sesión 15,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.16,Actividad Teatro y Cine 16,Desarrollo de la actividad 16 vinculada a 6.CR.CE4.3,1,2,Semana 2,Jueves,16-04-2026,2,Sesión 16,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.17,Actividad Teatro y Cine 17,Desarrollo de la actividad 17 vinculada a 6.CR.CE5.1,1,2,Semana 2,Viernes,17-04-2026,1,Sesión 17,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.18,Actividad Teatro y Cine 18,Desarrollo de la actividad 18 vinculada a 6.CR.CE5.5,1,2,Semana 2,Viernes,17-04-2026,2,Sesión 18,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.19,Actividad Teatro y Cine 19,Desarrollo de la actividad 19 vinculada a 6.CR.CE1.3,1,2,Semana 2,Lunes,20-04-2026,1,Sesión 19,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.20,Actividad Teatro y Cine 20,Desarrollo de la actividad 20 vinculada a 6.CR.CE1.4,1,2,Semana 2,Lunes,20-04-2026,2,Sesión 20,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.21,Actividad Teatro y Cine 21,Desarrollo de la actividad 21 vinculada a 6.CR.CE3.7,1,3,Semana 3,Martes,21-04-2026,1,Sesión 21,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.22,Actividad Teatro y Cine 22,Desarrollo de la actividad 22 vinculada a 6.CR.CE4.3,1,3,Semana 3,Martes,21-04-2026,2,Sesión 22,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.23,Actividad Teatro y Cine 23,Desarrollo de la actividad 23 vinculada a 6.CR.CE5.1,1,3,Semana 3,Miércoles,22-04-2026,1,Sesión 23,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.24,Actividad Teatro y Cine 24,Desarrollo de la actividad 24 vinculada a 6.CR.CE5.5,1,3,Semana 3,Miércoles,22-04-2026,2,Sesión 24,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.25,Actividad Teatro y Cine 25,Desarrollo de la actividad 25 vinculada a 6.CR.CE1.3,1,3,Semana 3,Jueves,23-04-2026,1,Sesión 25,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.26,Actividad Teatro y Cine 26,Desarrollo de la actividad 26 vinculada a 6.CR.CE1.4,1,3,Semana 3,Jueves,23-04-2026,2,Sesión 26,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.27,Actividad Teatro y Cine 27,Desarrollo de la actividad 27 vinculada a 6.CR.CE3.7,1,3,Semana 3,Viernes,24-04-2026,1,Sesión 27,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.28,Actividad Teatro y Cine 28,Desarrollo de la actividad 28 vinculada a 6.CR.CE4.3,1,3,Semana 3,Viernes,24-04-2026,2,Sesión 28,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.29,Actividad Teatro y Cine 29,Desarrollo de la actividad 29 vinculada a 6.CR.CE5.1,1,3,Semana 3,Lunes,27-04-2026,1,Sesión 29,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.30,Actividad Teatro y Cine 30,Desarrollo de la actividad 30 vinculada a 6.CR.CE5.5,1,3,Semana 3,Lunes,27-04-2026,2,Sesión 30,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.31,Actividad Teatro y Cine 31,Desarrollo de la actividad 31 vinculada a 6.CR.CE1.3,1,4,Semana 4,Martes,28-04-2026,1,Sesión 31,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.32,Actividad Teatro y Cine 32,Desarrollo de la actividad 32 vinculada a 6.CR.CE1.4,1,4,Semana 4,Martes,28-04-2026,2,Sesión 32,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.33,Actividad Teatro y Cine 33,Desarrollo de la actividad 33 vinculada a 6.CR.CE3.7,1,4,Semana 4,Miércoles,29-04-2026,1,Sesión 33,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.34,Actividad Teatro y Cine 34,Desarrollo de la actividad 34 vinculada a 6.CR.CE4.3,1,4,Semana 4,Miércoles,29-04-2026,2,Sesión 34,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.35,Actividad Teatro y Cine 35,Desarrollo de la actividad 35 vinculada a 6.CR.CE5.1,1,4,Semana 4,Jueves,30-04-2026,1,Sesión 35,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.36,Actividad Teatro y Cine 36,Desarrollo de la actividad 36 vinculada a 6.CR.CE5.5,1,4,Semana 4,Jueves,30-04-2026,2,Sesión 36,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.37,Actividad Teatro y Cine 37,Desarrollo de la actividad 37 vinculada a 6.CR.CE1.3,1,4,Semana 4,Viernes,01-05-2026,1,Sesión 37,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.38,Actividad Teatro y Cine 38,Desarrollo de la actividad 38 vinculada a 6.CR.CE1.4,1,4,Semana 4,Viernes,01-05-2026,2,Sesión 38,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.39,Actividad Teatro y Cine 39,Desarrollo de la actividad 39 vinculada a 6.CR.CE3.7,1,4,Semana 4,Lunes,04-05-2026,1,Sesión 39,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.40,Actividad Teatro y Cine 40,Desarrollo de la actividad 40 vinculada a 6.CR.CE4.3,1,4,Semana 4,Lunes,04-05-2026,2,Sesión 40,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.41,Actividad Teatro y Cine 41,Desarrollo de la actividad 41 vinculada a 6.CR.CE5.1,1,5,Semana 5,Martes,05-05-2026,1,Sesión 41,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.42,Actividad Teatro y Cine 42,Desarrollo de la actividad 42 vinculada a 6.CR.CE5.5,1,5,Semana 5,Martes,05-05-2026,2,Sesión 42,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.43,Actividad Teatro y Cine 43,Desarrollo de la actividad 43 vinculada a 6.CR.CE1.3,1,5,Semana 5,Miércoles,06-05-2026,1,Sesión 43,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.44,Actividad Teatro y Cine 44,Desarrollo de la actividad 44 vinculada a 6.CR.CE1.4,1,5,Semana 5,Miércoles,06-05-2026,2,Sesión 44,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.45,Actividad Teatro y Cine 45,Desarrollo de la actividad 45 vinculada a 6.CR.CE3.7,1,5,Semana 5,Jueves,07-05-2026,1,Sesión 45,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.46,Actividad Teatro y Cine 46,Desarrollo de la actividad 46 vinculada a 6.CR.CE4.3,1,5,Semana 5,Jueves,07-05-2026,2,Sesión 46,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.47,Actividad Teatro y Cine 47,Desarrollo de la actividad 47 vinculada a 6.CR.CE5.1,1,5,Semana 5,Viernes,08-05-2026,1,Sesión 47,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.48,Actividad Teatro y Cine 48,Desarrollo de la actividad 48 vinculada a 6.CR.CE5.5,1,5,Semana 5,Viernes,08-05-2026,2,Sesión 48,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.49,Actividad Teatro y Cine 49,Desarrollo de la actividad 49 vinculada a 6.CR.CE1.3,1,5,Semana 5,Lunes,11-05-2026,1,Sesión 49,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.50,Actividad Teatro y Cine 50,Desarrollo de la actividad 50 vinculada a 6.CR.CE1.4,1,5,Semana 5,Lunes,11-05-2026,2,Sesión 50,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.51,Actividad Teatro y Cine 51,Desarrollo de la actividad 51 vinculada a 6.CR.CE3.7,1,6,Semana 6,Martes,12-05-2026,1,Sesión 51,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.52,Actividad Teatro y Cine 52,Desarrollo de la actividad 52 vinculada a 6.CR.CE4.3,1,6,Semana 6,Martes,12-05-2026,2,Sesión 52,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.53,Actividad Teatro y Cine 53,Desarrollo de la actividad 53 vinculada a 6.CR.CE5.1,1,6,Semana 6,Miércoles,13-05-2026,1,Sesión 53,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.54,Actividad Teatro y Cine 54,Desarrollo de la actividad 54 vinculada a 6.CR.CE5.5,1,6,Semana 6,Miércoles,13-05-2026,2,Sesión 54,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA7.55,Actividad El Universo 55,Desarrollo de la actividad 55 vinculada a 6.CR.CE1.3,1,6,Semana 6,Jueves,14-05-2026,1,Sesión 55,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA7.56,Actividad El Universo 56,Desarrollo de la actividad 56 vinculada a 6.CR.CE1.4,1,6,Semana 6,Jueves,14-05-2026,2,Sesión 56,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA7.57,Actividad El Universo 57,Desarrollo de la actividad 57 vinculada a 6.CR.CE3.7,1,6,Semana 6,Viernes,15-05-2026,1,Sesión 57,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA7.58,Actividad El Universo 58,Desarrollo de la actividad 58 vinculada a 6.CR.CE4.3,1,6,Semana 6,Viernes,15-05-2026,2,Sesión 58,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA7.59,Actividad El Universo 59,Desarrollo de la actividad 59 vinculada a 6.CR.CE5.1,1,6,Semana 6,Lunes,18-05-2026,1,Sesión 59,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA7.60,Actividad El Universo 60,Desarrollo de la actividad 60 vinculada a 6.CR.CE5.5,1,6,Semana 6,Lunes,18-05-2026,2,Sesión 60,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA7.61,Actividad El Universo 61,Desarrollo de la actividad 61 vinculada a 6.CR.CE1.3,1,7,Semana 7,Martes,19-05-2026,1,Sesión 61,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA7.62,Actividad El Universo 62,Desarrollo de la actividad 62 vinculada a 6.CR.CE1.4,1,7,Semana 7,Martes,19-05-2026,2,Sesión 62,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA7.63,Actividad El Universo 63,Desarrollo de la actividad 63 vinculada a 6.CR.CE3.7,1,7,Semana 7,Miércoles,20-05-2026,1,Sesión 63,Sesión de trabajo: El Universo,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA7,El Universo,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA7.64,Actividad El Universo 64,Desarrollo de la actividad 64 vinculada a 6.CR.CE4.3,1,7,Semana 7,Miércoles,20-05-2026,2,Sesión 64,Sesión de trabajo: El Universo,Material de aula,Si
