Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Actividad_ID,Actividad_Titulo,Criterios_Vinculados,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W1_SDA7_CRR,Palabras del universo,,2026-05-22,3,Poemas del cielo,Leer y escuchar poemas sencillos sobre las estrellas y la noche. Los niños dictan o inventan una frase poética sobre el universo que se recoge en un mural.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W2_SDA7_CRR,Contamos el universo,,2026-05-25,1,El cuento del astronauta,Leer un cuento sobre un astronauta. Comentar la historia en asamblea: personajes aventuras y lugares. Relacionar con el vocabulario aprendido.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W2_SDA7_CRR,Contamos el universo,,2026-05-26,2,Inventamos un viaje espacial,En grupos pequeños inventar oralmente un viaje al espacio: de dónde salen qué planetas visitan qué encuentran. Contar la historia al resto de la clase.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W2_SDA7_CRR,Contamos el universo,,2026-05-27,3,Describimos los planetas,Cada niño elige un planeta y lo describe oralmente al grupo: su color tamaño si hay vida y una curiosidad. El resto adivina de qué planeta se trata.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W2_SDA7_CRR,Contamos el universo,,2026-05-28,4,Comunicamos lo que hemos aprendido,Cada niño comparte con el grupo algo nuevo que ha aprendido del universo esta semana. Trabajar la comunicación espontánea y la escucha entre iguales.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W2_SDA7_CRR,Contamos el universo,,2026-05-29,5,Compartimos nuestros cuentos,Los grupos presentan sus cuentos espaciales al resto. Se valora la claridad la expresividad y si se entiende bien la historia.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W3_SDA7_CRR,Narramos el espacio,,2026-06-01,1,El universo en imágenes,Observar y describir imágenes del universo (nebulosas galaxias). Trabajar la descripción oral: qué veo qué colores hay cómo me hace sentir.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W3_SDA7_CRR,Narramos el espacio,,2026-06-02,2,Dramatizamos en el espacio,Pequeña dramatización: un grupo de astronautas llega a un planeta desconocido. Improvisar los diálogos y describir el entorno que encuentran.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W3_SDA7_CRR,Narramos el espacio,,2026-06-03,3,Creamos un cuento colectivo,Entre toda la clase construir un cuento del universo añadiendo cada uno una frase. El maestro lo transcribe y lo lee al final.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W3_SDA7_CRR,Narramos el espacio,,2026-06-04,4,Ilustramos nuestra historia,Cada niño ilustra una parte del cuento colectivo. Las ilustraciones se unen para formar el libro del universo de la clase.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W3_SDA7_CRR,Narramos el espacio,,2026-06-05,5,Leemos en voz alta,Leer el cuento colectivo completo en voz alta con turnos por niño. Trabajar la lectura expresiva y la escucha del compañero.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W4_SDA7_CRR,El libro del universo,,2026-06-08,1,Recopilamos todo lo que sabemos,Asamblea de repaso: ¿qué hemos aprendido del universo? Hacer un mapa mental en la pizarra con las ideas principales.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W4_SDA7_CRR,El libro del universo,,2026-06-09,2,Escribimos el texto del libro,Cada niño dicta una frase sobre su tema favorito del universo. El maestro la escribe en su página del libro. Repasar juntos el resultado.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W4_SDA7_CRR,El libro del universo,,2026-06-10,3,Ilustramos las páginas,Cada niño ilustra su página con dibujos y colores. El libro debe ser claro y comunicar visualmente el contenido de cada página.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W4_SDA7_CRR,El libro del universo,,2026-06-11,4,Encuadernamos el libro,Montar y encuadernar el libro colectivo. Añadir portada contraportada y título elegido entre todos mediante votación.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W4_SDA7_CRR,El libro del universo,,2026-06-12,5,Presentamos el libro al grupo,Presentación del libro terminado. Cada niño lee su página. Reflexionar sobre el proceso de creación y lo que han aprendido.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W5_SDA7_CRR,Compartimos el universo,,2026-06-15,1,Repasamos todo lo aprendido,Asamblea final del trimestre: repaso de los aprendizajes de CRR. Qué palabras nuevas hemos aprendido qué hemos contado y cómo hemos mejorado al hablar.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W5_SDA7_CRR,Compartimos el universo,,2026-06-16,2,Contamos el universo a otros grupos,Visitar otra clase del colegio para presentar el libro del universo y contar lo que hemos aprendido. Trabajar la comunicación ante un público nuevo.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W5_SDA7_CRR,Compartimos el universo,,2026-06-17,3,Celebramos el fin del trimestre,Celebración final con las familias: presentación del libro lectura de poemas y canciones aprendidas. Cierre del trimestre con una pequeña fiesta de aula.
